Time,Tamb,Cloudopacity,DHI,DNI,EBH,GHI,P
16-08-21 0:00,18.8,0,0,0,0,0,0
16-08-21 1:00,18.3,0,0,0,0,0,0
16-08-21 2:00,17.8,0,0,0,0,0,0
16-08-21 3:00,17.4,0,0,0,0,0,0
16-08-21 4:00,17.2,0,2,8,1,2,0
16-08-21 5:00,18.4,10,54,134,19,74,0
16-08-21 6:00,21.7,3.7,92,467,151,243,0
16-08-21 7:00,25.6,0,106,668,325,431,0
16-08-21 8:00,28.8,0,129,737,468,597,0
16-08-21 9:00,31.7,0,145,778,586,730,0
16-08-21 10:00,34,0,155,799,664,820,5.30789743666667
16-08-21 11:00,35.7,0,160,807,698,858,16.27978788
16-08-21 12:00,36.5,0.1,164,794,676,840,22.91553846
16-08-21 13:00,36.8,2.6,208,678,538,746,29.5445454533333
16-08-21 14:00,36.6,3.3,205,610,416,622,22.7829487166667
16-08-21 15:00,35.9,3.6,171,535,301,472,12.3148181833333
16-08-21 16:00,34.6,18.8,173,202,73,246,8.74761538333333
16-08-21 17:00,31.7,3.1,72,259,60,132,2.09436363633333
16-08-21 18:00,27.9,73.3,8,18,2,10,0.024025641
16-08-21 19:00,25,50.3,0,0,0,0,0
16-08-21 20:00,23.3,48.5,0,0,0,0,0
16-08-21 21:00,22.2,26,0,0,0,0,0
16-08-21 22:00,21.5,7,0,0,0,0,0
16-08-21 23:00,21,4.2,0,0,0,0,0
17-08-21 0:00,20.5,2.9,0,0,0,0,0
17-08-21 1:00,20,0.8,0,0,0,0,0
17-08-21 2:00,19.6,1.4,0,0,0,0,0
17-08-21 3:00,19.2,11.4,0,0,0,0,0
17-08-21 4:00,18.8,17.3,1,0,0,1,0.694769230666667
17-08-21 5:00,19.7,20.8,53,0,0,53,4.61257575666667
17-08-21 6:00,23.1,16.3,149,111,39,188,10.80851282
17-08-21 7:00,25.4,3.7,177,416,204,381,19.6044545466667
17-08-21 8:00,24.2,8.3,269,380,239,508,24.5218461533333
17-08-21 9:00,23.7,6.5,301,454,337,639,34.2424848333333
17-08-21 10:00,25.5,6.8,334,460,384,718,30.75025641
17-08-21 11:00,26.6,0,266,624,538,804,35.2507272666667
17-08-21 12:00,26.4,8.6,374,405,345,719,27.0846923066667
17-08-21 13:00,26.3,4.5,314,468,370,684,26.36890909
17-08-21 14:00,26.1,18.7,368,174,121,489,14.65328205
17-08-21 15:00,25.1,46.1,237,0,0,237,3.84436363666667
17-08-21 16:00,24,42.4,158,0,0,158,1.392974359
17-08-21 17:00,22,46.3,59,0,0,59,1.078151515
17-08-21 18:00,19,68,6,0,0,6,0.0435641026666667
17-08-21 19:00,16.6,71.9,0,0,0,0,0
17-08-21 20:00,15.2,77.4,0,0,0,0,0
17-08-21 21:00,14.4,47.4,0,0,0,0,0
17-08-21 22:00,13.8,46.6,0,0,0,0,0
17-08-21 23:00,13.2,52.8,0,0,0,0,0
18-08-21 0:00,12.7,63.4,0,0,0,0,0
18-08-21 1:00,12.3,61.1,0,0,0,0,0
18-08-21 2:00,12.1,51.5,0,0,0,0,0
18-08-21 3:00,12.5,54.2,0,0,0,0,0
